"","Habitat","Year","Replicate","Brown.algae","Green.algae","Red.algae","Nerita","Cellana","Austrocochlea","Bembicium","Morula","Patiriella","Pyura","Actinia","Barnacles"
"38","Rockpool",2016,9,0,0,0,22,0,0,0,1,11,0,1,0
"39","Rockpool",2016,10,0,5,0,1,15,1,0,0,5,0,0,0
"40","Rockpool",2016,11,0,10,0,1,6,1,0,0,8,0,0,0
"41","Rockpool",2016,12,0,2,0,15,4,4,9,0,0,0,0,0
"42","Rockpool",2016,13,0,2,0,20,3,0,17,0,1,0,5,0
"43","Rockpool",2016,14,0,0,0,63,1,1,7,2,0,0,0,0
"44","Rockpool",2016,15,0,20,10,20,6,0,7,1,2,0,0,0
"45","Rockpool",2016,16,0,0,0,14,4,3,0,0,0,0,0,0
"46","Rockpool",2016,17,0,20,0,20,1,7,0,1,0,0,0,0
"47","Rockpool",2016,18,0,0,0,0,0,0,0,10,0,0,0,0
"48","Rockpool",2016,19,0,0,0,0,0,0,0,65,0,0,0,0
"49","Rockpool",2016,20,0,0,0,27,15,4,14,0,0,0,0,0
"50","Rockpool",2016,21,90,0,0,32,1,8,15,3,0,0,0,0
"51","Rockpool",2016,22,85,0,0,0,0,7,4,2,1,0,1,0
"52","Rockpool",2016,23,40,0,0,9,25,1,4,0,4,0,0,0
"53","Rockpool",2016,24,10,0,0,3,3,0,0,0,2,0,0,0
"54","Rockpool",2016,25,35,0,0,71,0,0,37,0,0,0,0,0
"55","Rockpool",2016,26,0,5,0,0,3,1,0,1,13,0,0,0
"56","Rockpool",2016,27,20,2,0,15,26,0,0,0,3,0,1,0
"57","Rockpool",2016,28,15,1,0,13,20,3,1,0,4,0,0,0
"58","Rockpool",2016,29,0,8,0,0,19,0,5,2,0,0,0,0
"59","Rockpool",2016,30,90,0,7,10,0,29,11,4,4,0,4,0
"60","Rockpool",2016,31,60,3,35,16,6,1,2,3,1,0,0,0
"61","Rockpool",2016,32,0,35,0,0,47,0,0,3,0,0,0,0
"62","Rockpool",2016,0,0,1,0,0,31,1,3,3,9,0,3,0
"63","Rockpool",2017,1,20,0,0,4,0,9,9,0,0,0,0,0
"64","Rockpool",2017,2,0,0,0,3,4,6,0,0,0,0,0,0
"65","Rockpool",2017,3,0,0,0,7,1,0,0,0,0,0,0,0
"66","Rockpool",2017,4,3,0,0,0,5,5,4,0,0,0,0,0
"67","Rockpool",2017,5,90,0,0,4,3,0,0,1,0,0,0,0
"68","Rockpool",2017,6,80,0,0,2,0,8,0,0,0,0,0,0
"69","Rockpool",2017,7,0,0,0,31,11,0,0,0,0,0,1,0
"70","Rockpool",2017,8,0,0,80,0,1,0,2,0,0,0,0,0
"71","Rockpool",2017,9,0,70,80,0,10,2,0,2,0,0,0,0
"72","Rockpool",2017,10,0,50,0,4,0,0,3,0,0,0,0,0
"73","Rockpool",2017,11,95,0,0,28,1,6,0,1,0,0,0,0
"74","Rockpool",2017,12,85,0,20,11,1,6,0,0,0,0,11,0
"75","Rockpool",2017,13,0,1,0,8,2,20,0,0,0,0,1,0
"76","Rockpool",2017,14,0,30,0,0,7,0,0,0,1,0,0,0
"77","Rockpool",2017,15,20,50,0,0,0,2,0,8,0,0,0,0
"78","Rockpool",2017,16,80,0,0,4,0,4,0,0,0,0,0,0
"79","Rockpool",2017,17,50,0,0,23,2,20,0,0,0,0,0,0
"80","Rockpool",2017,18,90,0,0,1,2,0,0,0,0,0,0,0
"81","Rockpool",2017,19,0,0,0,3,10,0,0,0,13,0,0,0
"82","Rockpool",2017,20,80,0,5,13,5,4,0,0,0,0,0,0
"83","Rockpool",2017,21,9,0,0,0,11,2,0,1,0,0,0,0
"84","Rockpool",2017,22,80,10,10,4,4,4,10,0,0,0,0,0
"85","Rockpool",2017,23,30,0,0,5,0,11,0,0,0,0,0,0
"86","Rockpool",2017,24,30,0,0,16,2,0,12,0,0,0,0,0
"87","Rockpool",2017,25,5,0,0,3,6,0,3,0,0,0,0,0
"88","Rockpool",2017,26,90,0,0,27,0,0,16,0,0,0,0,0
"89","Rockpool",2017,27,80,0,5,4,10,0,0,0,12,0,0,0
"90","Rockpool",2017,28,85,0,5,13,5,4,0,0,0,0,0,0
"91","Rockpool",2017,29,90,0,0,2,11,0,0,0,0,0,0,0
"92","Rockpool",2017,30,0,0,0,2,11,0,0,0,0,0,0,0
"93","Rockpool",2017,31,20,0,70,0,7,0,0,0,0,0,0,0
"94","Rockpool",2017,32,45,0,50,1,0,1,4,0,0,0,0,0
"95","Rockpool",2017,33,50,0,0,2,9,3,1,0,0,0,0,0
"96","Rockpool",2017,34,0,0,0,2,1,0,0,0,0,0,0,0
"97","Rockpool",2017,35,0,0,0,1,0,11,0,0,0,0,0,0
"98","Rockpool",2017,36,0,0,0,0,1,0,0,0,0,0,0,0
"99","Rockpool",2017,37,0,0,0,9,0,6,0,0,0,0,0,0
"100","Rockpool",2017,38,70,0,0,0,0,10,0,0,0,0,0,0
"101","Rockpool",2017,39,20,10,40,1,3,0,5,0,0,0,0,0
"102","Rockpool",2017,40,10,60,0,0,2,2,0,0,0,0,0,0
"103","Rockpool",2017,41,60,0,0,0,2,0,0,0,0,0,0,0
"104","Rockpool",2017,42,0,55,0,15,3,6,3,0,0,0,0,0
"105","Rockpool",2017,43,90,10,0,0,8,0,3,0,0,0,0,0
"106","Emergent",2017,1,0,0,0,0,7,0,0,0,0,0,0,50
"107","Emergent",2017,2,0,0,0,0,0,0,0,0,0,0,0,21
"108","Emergent",2017,3,0,0,0,0,0,20,0,0,0,0,0,60
"109","Emergent",2017,4,0,0,0,0,0,0,0,0,0,0,0,10
"110","Emergent",2017,5,0,0,0,0,12,0,0,0,0,0,0,15
"111","Emergent",2017,6,0,0,0,0,4,0,0,0,0,0,0,0
"112","Emergent",2017,7,0,0,0,4,2,8,0,0,0,0,0,0
"113","Emergent",2017,8,0,0,0,0,0,0,0,0,0,0,0,100
"114","Emergent",2017,9,0,2,0,0,10,0,0,0,0,0,0,0
"115","Emergent",2017,10,0,1,0,0,11,0,0,1,0,0,0,0
"116","Emergent",2017,11,0,0,0,1,4,0,0,0,0,0,0,0
"117","Emergent",2017,12,0,0,0,0,0,0,0,2,0,0,0,0
"118","Emergent",2017,13,0,0,0,0,0,0,0,0,0,0,0,10
"119","Emergent",2017,14,0,0,0,0,10,0,0,0,0,0,0,1
"120","Emergent",2017,15,0,0,0,0,4,0,0,0,0,0,0,1
"121","Emergent",2017,16,0,0,0,0,6,0,0,1,0,0,0,12
"122","Emergent",2017,17,0,0,0,1,9,0,0,0,0,0,14,0
"123","Emergent",2017,18,0,0,0,14,7,5,0,0,0,0,0,10
"124","Emergent",2017,19,0,0,0,11,7,12,0,2,0,0,0,100
"125","Emergent",2017,20,0,0,0,0,9,2,21,0,0,0,0,1
"126","Emergent",2017,21,0,0,0,0,10,0,11,0,0,0,0,3
"127","Emergent",2017,22,0,0,0,0,3,1,16,0,0,0,0,6
"128","Emergent",2017,23,0,0,0,1,16,0,7,0,0,0,0,0
"129","Emergent",2017,24,0,0,0,0,11,0,0,0,0,0,0,16
"130","Emergent",2017,25,0,0,0,2,11,0,0,0,0,0,0,0
"131","Emergent",2017,26,0,0,0,0,2,0,2,0,0,0,0,90
"132","Emergent",2017,27,0,0,0,23,0,11,0,0,0,0,0,0
"133","Emergent",2017,28,0,0,0,0,0,0,4,0,0,0,0,90
"134","Emergent",2017,29,0,0,0,0,1,0,1,0,0,0,0,95
"135","Emergent",2017,30,0,0,0,0,0,0,0,0,0,0,0,10
"136","Emergent",2017,31,0,80,0,0,0,0,1,0,0,0,0,0
"137","Emergent",2017,32,0,0,0,0,0,0,0,7,0,0,0,0
"138","Emergent",2017,33,35,0,0,0,0,0,1,0,0,0,0,0
"139","Emergent",2017,34,0,0,0,0,0,0,0,5,0,0,0,5
"140","Emergent",2017,35,0,0,0,0,0,21,0,0,0,0,0,30
"141","Emergent",2017,36,0,0,0,0,0,2,0,0,0,0,0,85
"142","Emergent",2017,37,0,0,0,1,5,1,0,0,0,0,0,45
"143","Emergent",2017,38,0,0,0,0,18,2,0,0,0,0,0,15
"144","Emergent",2017,39,0,3,0,14,0,11,0,0,0,0,0,0
"145","Emergent",2017,40,0,0,0,0,0,0,2,0,0,0,0,95
"146","Emergent",2017,41,0,0,0,0,0,1,3,0,0,0,0,45
"147","Rockpool",2018,1,0,10,70,0,0,0,0,0,0,0,0,0
"148","Rockpool",2018,2,40,10,10,0,5,1,1,0,0,0,0,0
"149","Rockpool",2018,3,10,5,0,1,8,0,1,0,0,0,0,12
"150","Rockpool",2018,4,15,15,30,0,5,0,0,0,1,0,0,0
"151","Rockpool",2018,5,2,1,0,0,15,0,0,0,5,0,0,0
"152","Rockpool",2018,6,20,5,10,0,1,2,0,2,2,0,0,0
"153","Rockpool",2018,7,60,0,0,17,10,0,0,4,0,0,0,0
"154","Rockpool",2018,8,30,0,0,25,0,15,0,0,0,0,0,0
"155","Rockpool",2018,9,15,0,0,16,6,10,0,0,0,0,0,2
"156","Rockpool",2018,10,75,0,5,5,2,4,0,2,0,0,0,0
"157","Rockpool",2018,11,25,0,0,2,11,8,0,0,0,0,0,1
"158","Rockpool",2018,12,0,0,0,10,8,2,0,6,1,0,0,1
"159","Rockpool",2018,13,80,0,0,5,2,22,0,0,0,0,0,0
"160","Rockpool",2018,14,60,0,0,33,0,24,0,2,0,0,0,0
"161","Rockpool",2018,15,85,7,0,3,0,1,0,1,0,0,0,0
"162","Rockpool",2018,16,100,0,0,0,0,1,0,1,0,0,0,0
"163","Rockpool",2018,17,90,10,30,0,6,0,0,0,0,0,0,0
"164","Rockpool",2018,18,20,20,0,6,1,4,0,0,0,0,0,0
"165","Rockpool",2018,19,90,0,0,0,4,0,0,2,0,0,0,0
"166","Rockpool",2018,20,80,0,0,1,3,11,0,2,0,0,0,0
"167","Rockpool",2018,21,70,5,5,1,12,5,4,1,0,0,0,0
"168","Rockpool",2018,22,90,0,0,7,1,10,12,3,0,0,1,0
"169","Rockpool",2018,23,50,0,0,1,9,9,7,0,0,0,0,3
"170","Rockpool",2018,24,90,0,0,3,5,2,0,2,0,0,0,0
"171","Rockpool",2018,25,100,0,0,0,1,2,0,0,0,0,0,2
"172","Rockpool",2018,26,80,0,0,0,0,0,0,0,0,0,0,0
"173","Rockpool",2018,27,95,0,0,0,2,0,0,0,0,0,1,0
"174","Rockpool",2018,28,0,0,0,0,12,0,0,0,0,0,0,0
"175","Rockpool",2018,29,4,0,0,16,0,16,0,0,0,1,0,0
"176","Rockpool",2018,30,80,0,0,5,0,9,0,0,0,0,0,0
"177","Rockpool",2018,31,95,0,0,3,0,15,0,3,0,0,3,0
"178","Emergent",2018,1,0,0,0,0,22,15,1,1,0,0,0,0
"179","Emergent",2018,2,0,0,0,24,13,0,0,0,0,0,0,6
"180","Emergent",2018,3,0,1,0,0,0,2,0,0,0,0,0,6
"181","Emergent",2018,4,0,0,0,21,7,0,1,5,0,0,0,1
"182","Emergent",2018,5,0,0,0,9,8,5,0,0,0,0,0,60
"183","Emergent",2018,6,0,0,0,35,5,6,0,1,0,0,0,10
"184","Emergent",2018,7,0,0,0,0,0,1,0,2,0,0,0,2
"185","Emergent",2018,8,10,0,0,27,16,5,0,2,0,0,0,2
"186","Emergent",2018,9,0,0,5,2,3,0,0,0,0,0,0,0
"187","Emergent",2018,10,0,0,0,3,0,0,0,0,0,0,0,0
"188","Emergent",2018,11,0,0,0,16,5,3,0,7,0,0,0,60
"189","Emergent",2018,12,0,0,0,4,0,0,0,0,0,0,0,0
"190","Emergent",2018,13,0,0,0,20,0,0,0,0,0,0,0,0
"191","Emergent",2018,14,0,0,0,1,0,0,0,0,0,0,0,0
"192","Emergent",2018,15,0,0,0,7,3,0,3,0,0,0,0,40
"193","Emergent",2018,16,0,0,0,14,0,0,1,0,0,0,0,20
"194","Emergent",2018,17,0,0,0,0,6,0,0,0,0,0,0,10
"195","Emergent",2018,18,0,0,0,0,13,0,0,0,0,0,0,0
"196","Emergent",2018,19,0,0,0,0,10,0,0,0,0,0,0,0
"197","Emergent",2018,20,2,0,0,6,11,0,3,0,0,0,0,0
"198","Emergent",2018,21,5,0,0,17,7,0,2,0,0,0,0,0
"199","Emergent",2018,22,0,0,0,22,3,6,0,0,0,0,0,1
"200","Emergent",2018,23,0,0,0,12,0,0,0,0,0,0,0,30
"201","Emergent",2019,1,0,0,0,1,3,1,0,0,0,0,0,0
"202","Emergent",2019,2,0,0,0,0,3,1,4,0,0,0,0,0
"203","Emergent",2019,4,0,0,0,0,3,0,0,0,0,0,0,0
"204","Emergent",2019,5,0,0,0,1,1,1,0,0,0,0,0,0
"205","Emergent",2019,6,0,0,0,0,0,0,0,0,0,0,0,2
"206","Emergent",2019,7,0,0,0,0,1,0,0,0,0,0,0,0
"207","Emergent",2019,8,0,0,10,0,5,2,1,0,1,0,0,0
"208","Emergent",2019,9,0,10,0,2,2,16,0,0,0,0,0,0
"209","Emergent",2019,10,0,0,0,0,4,0,0,0,0,0,0,0
"210","Emergent",2019,11,0,0,0,0,8,1,0,0,0,0,0,0
"211","Emergent",2019,12,0,0,0,0,7,0,0,0,0,0,0,0
"212","Emergent",2019,13,0,0,0,0,2,0,0,0,0,0,0,5
"213","Emergent",2019,14,0,0,0,0,0,0,0,1,0,0,0,5
"214","Emergent",2019,15,0,0,0,0,0,0,0,0,0,0,0,1
"215","Emergent",2019,16,10,0,0,0,0,0,0,0,2,0,0,0
"216","Emergent",2019,17,1,3,0,0,0,3,0,1,0,0,0,0
"217","Emergent",2019,18,0,0,0,0,0,3,0,0,0,0,0,0
"218","Emergent",2019,19,0,0,0,3,3,2,0,0,0,0,0,0
"219","Emergent",2019,20,1,0,0,2,0,9,0,0,0,0,0,3
"220","Emergent",2019,21,0,0,0,0,1,0,0,0,3,0,0,0
"221","Emergent",2019,22,0,0,0,5,11,0,0,0,0,0,0,0
"222","Emergent",2019,23,2,0,0,1,4,1,0,0,0,0,0,0
"223","Emergent",2019,24,0,12,0,0,3,0,0,0,0,0,0,0
"224","Emergent",2019,25,1,0.5,0,1,6,3,0,2,0,0,0,2
"225","Emergent",2019,26,5,5,0,0,2,2,0,0,0,0,0,0
"226","Emergent",2019,27,0,20,0,0,3,0,0,0,0,0,0,0
"227","Emergent",2019,28,0,0,0,37,1,0,0,0,0,0,0,12
"228","Emergent",2019,29,0,10,0,0,0,3,6,0,0,0,0,2
"229","Emergent",2019,30,0,0,0,22,2,6,0,0,0,0,0,0
"230","Emergent",2019,31,0,1,0,0,0,3,6,0,0,0,0,2
"231","Emergent",2019,32,0,0,0,22,0,6,0,0,0,0,0,0
"232","Rockpool",2019,1,0,30,0,1,1,3,2,1,1,0,0,0
"233","Rockpool",2019,2,0,60,0,0,0,3,1,1,0,0,0,0
"234","Rockpool",2019,3,0,10,0,3,5,2,0,0,0,0,0,0
"235","Rockpool",2019,4,0,10,0,7,6,1,0,0,0,0,0,0
"236","Rockpool",2019,5,0,10,0,5,6,4,0,0,0,0,0,0
"237","Rockpool",2019,6,30,20,0,4,3,1,0,6,4,0,0,1
"238","Rockpool",2019,7,20,0,0,2,2,3,0,2,1,0,0,0
"239","Rockpool",2019,8,0,0,0,0,18,11,1,1,0,0,0,0
"240","Rockpool",2019,9,0,10,0,0,2,0,0,0,0,0,0,0
"241","Rockpool",2019,10,45,5,0,0,5,7,0,0,0,0,0,0
"242","Rockpool",2019,11,20,30,10,0,0,5,2,0,0,0,0,0
"243","Rockpool",2019,12,20,0,0,0,3,0,0,5,0,0,0,0
"244","Rockpool",2019,13,90,5,0,0,0,0,0,3,1,0,0,0
"245","Rockpool",2019,14,10,0,0,14,1,3,0,0,0,0,0,0
"246","Rockpool",2019,15,0,0,0,4,6,4,0,0,0,0,0,0
"247","Rockpool",2019,16,30,0,0,2,4,3,0,0,0,0,0,0
"248","Rockpool",2019,17,0,0,100,0,4,1,1,0,0,0,0,0
"249","Rockpool",2019,18,0,30,80,1,1,1,0,0,0,0,0,0
"250","Rockpool",2019,19,50,0,0,2,8,0,1,0,0,0,0,0
"251","Rockpool",2019,20,60,0,0,0,2,2,0,1,2,0,0,0
"252","Rockpool",2019,21,0,0,0,11,6,0,0,0,0,0,1,0
"253","Rockpool",2019,22,80,0,0,0,6,2,0,0,0,0,0,0
"254","Rockpool",2019,23,95,0,0,4,1,0,0,0,0,0,0,2
"255","Rockpool",2019,24,30,30,0,0,1,0,2,0,0,0,0,0
"256","Rockpool",2019,25,75,5,0,1,2,3,0,1,0,0,0,1
"257","Rockpool",2019,26,80,0,0,3,3,0,0,3,0,0,0,0
"258","Rockpool",2019,27,10,20,0,0,2,8,0,1,0,0,0,0
"259","Rockpool",2019,28,0,0,100,0,14,0,0,1,0,0,0,0
"260","Rockpool",2019,29,0,10,0,20,0,13,1,0,0,0,0,0
"261","Rockpool",2019,30,0,60,0,11,4,1,0,0,0,0,0,0
"262","Rockpool",2019,31,0,10,0,20,0,1,13,1,0,0,0,0
"263","Rockpool",2019,32,0,60,0,11,0,1,0,0,0,0,0,0
"264","Emergent",2020,1,20,2,10,0,2,2,0,0,3,0,0,0
"265","Emergent",2020,2,60,0,5,0,1,1,0,0,0,0,0,0
"266","Emergent",2020,3,10,0,45,0,11,2,0,0,0,0,0,0
"267","Emergent",2020,4,2,5,0,0,9,0,0,0,0,0,0,0
"268","Emergent",2020,5,0,0,0,0,0,0,0,0,0,0,0,70
"269","Emergent",2020,6,0,0,10,13,6,7,0,0,0,0,0,0
"270","Emergent",2020,7,5,0,0,6,0,3,0,0,0,0,0,0
"271","Emergent",2020,8,2,0,0,0,0,0,0,0,0,0,0,40
"272","Emergent",2020,9,0,0,0,0,0,0,0,0,0,0,0,27
"273","Emergent",2020,10,0,30,0,4,0,3,0,0,0,0,0,0
"274","Emergent",2020,11,50,5,0,3,6,4,2,2,0,0,0,0
"275","Emergent",2020,12,5,5,0,0,0,0,7,1,0,0,0,848
"276","Emergent",2020,13,0,0,0,0,3,6,1,0,0,0,0,115
"277","Emergent",2020,14,3,0,0,0,4,0,1,0,0,0,0,0
"278","Emergent",2020,15,1,0,0,0,0,2,0,2,0,0,0,1
"279","Emergent",2020,16,0,0,0,12,0,0,0,12,0,0,0,460
"280","Emergent",2020,17,0,0,0,10,1,11,0,0,0,0,0,0
"281","Emergent",2020,18,0,0,0,0,1,1,0,0,0,0,0,100
"282","Emergent",2020,19,0,0,0,0,0,0,0,0,0,0,0,5
"283","Emergent",2020,20,0,0,0,0,0,0,0,0,0,0,0,10
"284","Emergent",2020,21,0,0,0,1,0,0,2,0,0,0,0,5
"285","Emergent",2020,22,0,0,0,0,1,0,1,0,0,0,0,20
"286","Emergent",2020,23,0,0,0,2,5,0,10,0,0,0,0,5
"287","Emergent",2020,24,0,0,0,7,5,0,0,0,0,0,0,0
"288","Emergent",2020,25,0,0,0,0,4,0,1,1,0,0,0,10
"289","Emergent",2020,26,0,0,0,0,0,0,0,0,0,0,0,95
"290","Emergent",2020,27,0,0,80,1,2,0,0,0,0,0,0,0
"291","Emergent",2020,28,5,0,0,0,1,0,0,3,0,0,0,60
"292","Emergent",2020,29,5,1,60,0,5,0,0,0,0,0,0,0
"293","Emergent",2020,30,10,0,0,0,6,2,0,0,0,0,0,1
"294","Emergent",2020,31,0,0,90,0,0,0,0,0,0,0,0,0
"295","Emergent",2020,32,0,0,0,3,0,0,0,0,0,0,0,100
"296","Emergent",2020,33,0,5,0,0,2,1,0,0,0,0,0,300
"297","Emergent",2020,34,0,40,0,0,0,1,0,0,0,0,0,80
"298","Emergent",2020,35,0,0,0,0,0,0,0,0,0,0,0,60
"299","Emergent",2020,36,0,0,0,1,0,0,0,0,0,0,0,65
"300","Emergent",2020,37,0,2,0,0,1,2,2,0,0,0,0,0
"301","Emergent",2020,38,0,0,0,0,2,8,0,3,0,0,0,0
"302","Emergent",2020,39,0,0,0,0,0,0,0,0,0,0,0,180
"303","Emergent",2020,40,0,0,0,0,2,0,1,0,0,0,0,0
"304","Emergent",2020,41,0,2,0,0,1,0,0,0,0,0,0,0
"305","Emergent",2020,42,0,40,0,0,5,1,0,0,0,0,0,0
"306","Emergent",2020,43,10,0,0,1,0,1,0,0,0,0,0,0
"307","Emergent",2020,45,0,5,5,0,4,0,0,0,0,0,0,0
"308","Emergent",2020,46,0,0,0,2,8,2,0,1,0,0,0,0
"309","Emergent",2020,47,44,25,0,0,0,2,0,0,0,0,0,0
"310","Emergent",2020,48,5,0,0,3,3,4,0,0,0,0,0,0
"311","Emergent",2020,49,0,0,0,2,2,0,0,0,0,0,0,0
"312","Emergent",2020,50,0,3,0,4,0,1,0,0,0,0,0,0
"313","Emergent",2020,51,0,0,0,0,0,3,0,0,0,0,0,0
"314","Emergent",2020,52,0,0,13,0,3,0,0,0,0,0,0,0
"315","Emergent",2020,53,45,5,50,0,5,1,0,0,0,0,0,9
"316","Emergent",2020,54,50,0,50,6,5,9,0,0,3,0,0,3
"317","Emergent",2020,55,80,10,10,0,5,0,0,6,0,0,0,34
"318","Emergent",2020,56,80,5,15,0,4,0,0,0,0,0,0,0
"319","Emergent",2020,57,40,0,60,5,7,5,3,2,0,0,0,6
"320","Emergent",2020,58,20,0,80,7,2,6,2,1,1,0,0,6
"321","Emergent",2020,59,0,0,0,3,1,0,3,0,0,0,0,0
"322","Emergent",2020,60,28,0,0,2,5,1,0,0,1,0,0,1
"323","Emergent",2020,61,0,0,0,3,2,0,5,0,0,0,0,0
"324","Emergent",2020,62,5,0,0,2,5,1,1,0,0,0,0,4
"325","Emergent",2020,63,5,0,0,0,5,5,0,0,0,0,0,0
"326","Emergent",2020,64,0,0,0,0,0,7,0,0,0,0,0,0
"327","Emergent",2020,65,2,0,0,5,0,0,0,0,0,0,0,1
"328","Emergent",2020,66,8,0,0,12,4,2,6,0,0,0,0,0
"329","Emergent",2020,67,2,0,0,0,3,2,1,0,0,0,0,0
"330","Emergent",2020,68,0,0,0,2,14,0,4,0,1,0,0,0
"331","Emergent",2020,69,3,1,0,0,9,1,4,4,0,0,0,4
"332","Emergent",2020,70,5,0,0,0,1,2,0,0,0,0,0,0
"333","Emergent",2020,71,0,0,25,4,7,1,5,2,0,0,0,0
"334","Emergent",2020,72,0,10,20,3,15,0,5,1,0,0,0,4
"335","Emergent",2020,73,0,30,10,1,4,0,0,0,0,0,0,7
"336","Emergent",2020,74,0,5,0,0,7,0,0,0,0,0,0,0
"337","Emergent",2020,75,0,10,0,0,5,0,0,0,0,0,0,0
"338","Rockpool",2020,1,85,10,2.5,2,1,1,1,0,1,0,0,0
"339","Rockpool",2020,2,70,0,0,0,0,0,2,0,0,0,0,0
"340","Rockpool",2020,3,70,5,5,0,3,3,1,0,1,0,0,0
"341","Rockpool",2020,4,20,0,15,3,3,2,2,5,0,0,0,3
"342","Rockpool",2020,5,30,5,50,2,4,3,0,2,0,0,0,2
"343","Rockpool",2020,6,5,2.5,0,0,5,2,3,3,0,0,3,3
"344","Rockpool",2020,7,5,90,2,5,1,4,7,3,0,0,0,0
"345","Rockpool",2020,8,70,20,0,5,0,0,2,2,0,0,0,6
"346","Rockpool",2020,9,0,95,0,0,0,4,0,0,0,0,0,0
"347","Rockpool",2020,10,40,50,0,0,0,3,6,5,0,0,0,0
"348","Rockpool",2020,11,30,0,10,8,0,0,4,0,0,0,0,0
"349","Rockpool",2020,12,40,10,0,16,0,15,0,0,0,0,0,0
"350","Rockpool",2020,13,10,40,0,3,0,3,0,0,0,0,0,20
"351","Rockpool",2020,14,15,20,2,3,1,6,2,8,0,0,0,0
"352","Rockpool",2020,15,0,30,85,1,0,3,0,0,1,0,0,0
"353","Rockpool",2020,16,25,0,85,0,1,3,0,1,3,0,0,0
"354","Rockpool",2020,17,0,0,90,1,0,0,1,1,0,0,0,0
"355","Rockpool",2020,18,20,0,0,0,0,4,0,4,2,0,1,0
"356","Rockpool",2020,19,4,0,0,13,2,8,0,12,0,0,0,0
"357","Rockpool",2020,20,2,98,0,9,1,12,0,2,0,0,0,0
"358","Rockpool",2020,21,70,0,0,0,0,0,0,0,2,0,0,3
"359","Rockpool",2020,22,0,0,0,2,6,3,0,0,0,0,0,0
"360","Rockpool",2020,23,5,0,0,10,3,1,9,0,0,0,0,0
"361","Rockpool",2020,24,60,0,0,11,1,1,0,0,0,0,2,0
"362","Rockpool",2020,25,0,50,0,9,4,0,5,0,0,0,0,0
"363","Rockpool",2020,26,10,0,10,1,0,7,8,0,0,0,0,0
"364","Rockpool",2020,27,0,0,0,7,0,2,2,1,0,0,0,0
"365","Rockpool",2020,28,0,5,20,0,3,0,0,0,0,0,0,0
"366","Rockpool",2020,29,0,0,70,0,1,3,0,0,2,0,0,0
"367","Rockpool",2020,30,95,0,0,0,5,0,0,1,1,0,0,0
"368","Rockpool",2020,31,80,0,0,0,4,8,0,0,0,0,0,0
"369","Rockpool",2020,32,70,0,0,9,3,0,0,0,0,0,0,0
